DATERECEIVED,PACKET_PAYLOAD,RESPONSE_PAYLOAD
2025-07-04 23:53:12.818,11523282986258713804795529835701000000400000379697000000000000004000003774010001F36C011400103B50094000003796F38A01380D4810684000003796E001030300000000966600000020000000520799798A2B074000003796970000000000000067,06693C7101570155297900800036
2025-07-04 22:53:12.948,11523282986258713804795528835701000000400000379697000000000000004000003774010001F36C011400103050094000003796F38A01380D4810684000003796E001030300000000966600000020000000520799798A2B074000003796970000000000000080,06693C71015701552879008000FB
2025-07-04 21:53:12.358,12523282986258713804795527835701000000400000379697000000000000004000003774010001F46C011400103E50094000003796F38A01390D4810684000003796650000000300000096E001030300000000966600000020000000520799798A2B0740000037969700000000000000ED,06693C7101570155277900800094
2025-07-04 20:53:57.385,11523282986258713804795526835701000000400000649697000000000000004000006474010001F46C011400104350094000006496F38A01390D4810684000006496E001030300000000966600000020000000520799798A2B07400000649697000000000000004A,06693C7101570155267900800059
2025-07-04 19:53:13.018,11523282986258713804795525835701000000400000379697000000000000004000003774010001F46C011400104B50094000003796F38B01390D4810684000003796E001030300000000966600000020000000520799798B2B0840000037969700000000000000E8,06693C7101570155257900800017
2025-07-04 18:53:12.389,12523282986258713804795524835701000000400000379697000000000000004000003774010001F66C011400105050094000003796F38B013A0D4810684000003796E001030300000000966600000020000000520799798B2B089F0201950360013400061D320040000037969700000000000000B3,06693C71015701552479008000DA
2025-07-04 17:53:12.110,13523282986258713804795523835701000000400000379697000000000000004000003774010001F66C011400105350094000003796F38B013A0D4810684000003796650000000300000096E00103030000000096660000002000000040000001520799798B2A0A400000379697000000000000005C,06693C710157015523790080008B
2025-07-04 16:53:12.846,11523282986258713804795522835701000000400000379697000000000000004000003774010001F86C011400106550094000003796F38B013B0D4810684000003796E001030300000000966600000020000000520799798B2B0B40000037969700000000000000D1,06693C7101570155227900800046
2025-07-04 15:53:12.084,11523282986258713804795521835701000000400000379697000000000000004000003774010001FC6C011400106A500A4000003796F38C013E0D4810684000003796E001030300000000966600000020000000520799798C290A4000003796970000000000000045,07693C7101570155219B6867F8E879008000F3
2025-07-04 14:52:39.373,125232829862587138047955209A835701000000400000169697000000000000004000001674010002096C011400106050094000001696F38B01460D4810684000001696E001030300000000966600010000000100520899798B2E0940000016969700000000000000E7,07693C7101570155209B6867EAB779008000F2
2025-07-04 13:52:21.662,1252328298625871380479551F9A8357010000004000000296970000000000000040000002740100020E6C0114001068501A4000000296F38C01490D4810684000000296E001030300000000966600010000000000520A99798C3D08400000029697000000000000005B,06693C71015701551F790080002E
2025-07-04 12:52:21.867,1252328298625871380479551E835701000000400000029697000000000000004000000274010002136C0114001070501A4000000296F38C014C0D4810684000000296E001030300000000966600010000000000520A99798C3B089F0201950360013400061D3200400000029697000000000000006B,06693C71015701551E79008000E3
2025-07-04 11:52:21.721,1152328298625871380479551D835701000000400000029697000000000000004000000274010002286C011400106D501A4000000296F38C01590D4810684000000296E001030300000000966600000010000000520A99798C3B084000000296970000000000000063,06693C71015701551D79008000AD
2025-07-04 10:53:01.647,1252328298625871380479551C8357010000004000002C9697000000000000004000002C74010002016C011400101350184000002D96F38901410D4810684000002D96E00103030000000096660000002000000040000001520A9979893A0B4000002D9697000000000000006E,06693C71015701551C7900800060
2025-07-04 09:53:01.293,1152328298625871380479551B8357010000004000002C9697000000000000004000002C74010001F86C0114000FF450084000002C96F388013B0D4810684000002C96E001030300000000966600000020000000520A9979883E094000002C96970000000000000005,06693C71015701551B7900800031
2025-07-04 08:53:00.502,1252328298625871380479551A8357010000004000002B9697000000000000004000002B74010001FB6C0114000FF950084000002B96F388013D0D4810684000002B96650000000300000096E001030300000000966600000020000000520A9979883A094000002B96970000000000000030,06693C71015701551A79008000FC
2025-07-04 07:53:00.896,115232829862587138047955198357010000004000002C9697000000000000004000002C74010001F66C0114000FF950084000002C96F388013A0D4810684000002C96E001030300000000966600000020000000520A9979883A094000002C9697000000000000000E,06693C71015701551979008000B2
2025-07-04 06:53:01.067,115232829862587138047955188357010000004000002C9697000000000000004000002C74010001EE6C0114000FF950084000002C96F38801350D4810684000002C96E001030300000000966600000020000000520A9979883B084000002C96970000000000000093,06693C710157015518790080007F
2025-07-04 05:53:01.032,135232829862587138047955178357010000004000002C9697000000000000004000002C74010001DC6C011400101650084000002C96F389012A0D4810684000002C96650000000300000096E001030300000000966600000020000000520A99798939099F0201950360013400061D32004000002C969700000000000000AA,06693C7101570155177900800010
2025-07-04 04:53:01.308,125232829862587138047955168357010000004000002C9697000000000000004000002C74010001DC6C011400102350094000002C96F389012A0D4810684000002C96650000000100000096E0010303000000009666000000200000005208997989300B4000002C96970000000000000015,06693C71015701551679008000DD
2025-07-04 03:53:01.292,115232829862587138047955158357010000004000002C9697000000000000004000002C74010001DB6C011400102950094000002C96F38901290D4810684000002C96E0010303000000009666000000200000005208997989300B4000002C96970000000000000019,06693C7101570155157900800093
2025-07-04 02:53:01.326,135232829862587138047955148357010000004000002D9697000000000000004000002D74010001DB6C011400102650094000002D96F38901290D4810684000002D96E001030300000000966600000020000000400000015208997989300B9F02019503600134000C8232004000002D969700000000000000DC,06693C710157015514790080005E
2025-07-04 01:53:00.194,135232829862587138047955138357010000004000002B9697000000000000004000002B74010001DC6C011400103350094000002B96F38A012A0D4810684000002C96E00103030000000096660000002000000040000001520899798A2F0C9F0201950360013400061D32004000002C969700000000000000A6,06693C710157015513790080000F
2025-07-04 00:52:59.944,115232829862587138047955128357010000004000002B9697000000000000004000002B74010001DC6C011400102E50094000002B96F38A012A0D4810684000002B96E001030300000000966600000020000000520899798A300A4000002B969700000000000000B4,06693C71015701551279008000C2
